Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
ARG Services of WNY; Inc.,366 Washington Street,,Albion,NY,14411,Orleans,8,5852051847,ARG Services of WNY; Inc.,,CDDHRF - permit,[37CP0001],Yes,239262,4792358,4.1 - Address Matching,Soil (Clean);Sand;Rock;Non-petroleum Contaminated Soil;Gravel;Construction & Demolition Debris;Concrete;Brick;Asphalt;Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips);Furniture/Appliances,Permit,8-3420-00085/00001,10/12/2017,10/11/2027,"366 Washington Street
Albion, NY 14411
(43.242787, -78.207869)"
Eastchester Leaf Transfer Station,40 Mill Road,,Eastchester,NY,10709,Westchester,3,,Town of Eastchester,Municipal,Transfer facility - registration,[60T10014],Yes,599500,4534000,,Yard Waste,Registration,60T10014,09/18/2019,09/17/2024,"40 Mill Road
Eastchester, NY 10709
(40.956302, -73.811129)"
Floral Park Transfer Station,One Floral Blvd,,Floral Park,NY,11001,Nassau,1,5163266300,Village of Floral Park,Municipal,Transfer station - registration,[30M47R],Yes,609293,4508926,,Land Clearing Debris;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Electronics,Registration,30M47R,11/22/1996,,
Liotta Brothers Recycling Corp,4014 Daly Boulevard,,Oceanside,NY,11572,Nassau,1,5168550235,Victor Liotta; Jr.,Private,C&D processing - permit,[30W08],Yes,614027,4497512,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips);Wood (Unadulterated);Asphalt;Brick;Concrete;Soil (Clean);Street Sweepings;Roofing Shingles,None,1-2820-04489/00001,06/12/2019,06/11/2024,"4014 Daly Boulevard
Oceanside, NY 11572
(40.620442, -73.651216)"
Queensbury Transfer Station (Ridge Rd),1396 Ridge Road,,Queensbury,NY,12804,Warren,5,5187454479,Town of Queensbury,Municipal,Transfer facility - registration,[57T10006],Yes,611614,4805340,,MSW (Residential/Institutional & Commercial);White Goods;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste,Registration,57T10006,08/14/2018,08/13/2023,"1396 Ridge Road
Queensbury, NY 12804
(43.393731, -73.622784)"
SIMS Metal Municipal Recycling LLC - Sunset Park,472 2nd Ave,,Brooklyn,NY,11232,Kings,2,3474298097,Sims Metal Mangement,Private,RHRF - registration,[24R20000],Yes,584149,4501633,,Source Separated Recyclables (Metal/Glass/Paper/Plastic);PET,Registration,24MG0,,,"472 2nd Ave
Brooklyn, NY 11232
(40.661025, -74.004512)"
Philadelphia Transfer Station,32893 State Route 11,,Philadelphia,NY,13673,Jefferson,6,3156420119,Town of Philadelphia,Municipal,RHRF - 5 tpd or less - registration,[23R10028],Yes,442736,4888142,4.1 - Address Matching,Paperboard/Boxboard;Newspaper;Office Paper;Commingled Paper;Container Glass;Plastic;Commingled Containers;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Electronics;Enameled Appliances / White Goods,Registration,23R10028,11/21/2019,11/20/2024,"32893 State Route 11
Philadelphia, NY 13673
(44.143993, -75.716537)"
Covanta Environmental Solutions - Niagara; LLC,8335 Quarry Road,,Niagara,NY,14304,Niagara,9,7162985297,Covanta Environmental Solutions; LLC,Private,Transfer facility - permit,[32TP0014],Yes,177083,4782240,4.2 - Utilization of GIS and existing spatial data,Non-hazardous Waste;Water (Waste),Permit,9-2930-00012/00002,10/15/2015,04/21/2025,"8335 Quarry Road
Niagara, NY 14304
(43.124043, -78.974328)"
Weitsman Recycling LLC - Owego Division,15 West Main Street,P O Box 420,Owego,NY,13827,Tioga,7,6076872780,Ben Weitsman & Sons Inc,Private,VDF - large - registration,[54V50015],Yes,395010,4661684,,,Registration,54V50015,06/28/2018,06/28/2023,"15 West Main Street
Owego, NY 13827
(42.099992, -76.269859)"
Karsons Auto and Truck Recycling; LLC,530 South Main Street,,Warsaw,NY,14569,Wyoming,9,5857863930,Karson W. Heubusch II,Private,VDF - large - registration,[61V50009],Yes,243521,4735067,1 - No accuracy stated,End of Life Vehicles,,61V50009,04/10/2019,04/10/2024,"530 South Main Street
Warsaw, NY 14569
(42.726177, -78.132711)"
Henderson Transfer Station,12105 Town Barn Road,,Henderson,NY,13650,Jefferson,6,3159387434,Town of Henderson,Municipal,RHRF - 5 tpd or less - registration,[23R10027],Yes,405056,4855056,4.1 - Address Matching,Container Glass;Commingled Containers;Commingled Paper;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Plastic;Paperboard/Boxboard,Registration,23R10027,11/21/2019,11/20/2024,"12105 Town Barn Road
Henderson, NY 13650
(43.842504, -76.180825)"
Nathan H Kelman Inc,41 Euclid Street,,Cohoes,NY,12047,Albany,4,5182375133,Nathan H. Kelman,Private,Scrap metal processor - registration,[01V30301],Yes,606550,4735166,,Scrap Metal - Ferrous ;Scrap Metal - Aluminum ;Scrap Metal - Non-ferrous,Registration,01V30301,03/19/2019,,"41 Euclid Street
Cohoes, NY 12047
(42.761723, -73.69749)"
Emerson Recycling Corp,63-65 Emerson Place,,Brooklyn,NY,11205,Kings,2,7186221799,Stephen Leone,Private,RHRF - registration,[24MF5],Yes,587665,4505510,,Commingled Paper;Metals (Aluminum);Paper / Cardboard;Office Paper,Registration,24MF5,,,"63-65 Emerson Place
Brooklyn, NY 11205
(40.695801, -73.962596)"
Framitz Inc,3631 Hampton Road,,Oceanside,NY,11572,Nassau,1,5167666696,Framitz Inc/Patriot Recycling LLC,Private,C&D processing - permit,[30W22],Yes,613908,4497674,1 - No accuracy stated,Construction & Demolition Debris;Paper / Cardboard;Commingled Containers;Commingled Paper;Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous);Metals (Non-Ferrous),SAPA,1-2820-01539/00009,11/02/2006,11/01/2009,"3631 Hampton Road
Oceanside, NY 11572
(40.622417, -73.653938)"
North Harmony Transfer Station,Rte 394 Highway Building,,Stow,NY,14785,Chautauqua,9,7167893445,Town of North Harmony,Municipal,RHRF - 5 tpd or less - registration,[07R10048],Yes,135420,4676594,4.2 - Utilization of GIS and existing spatial data,Paperboard/Boxboard;Commingled Paper;Container Glass;Plastic;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Clear Glass,Registration,07R10048,02/15/2019,02/15/2024,
Oswego County Transfer Station,700 East Seneca Street,,Oswego,NY,13126,Oswego,7,3155919200,Oswego County DSW,County,Transfer facility - registration,[38T10023],Yes,380147,4813918,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Tires,Registration,38T10023,02/20/2019,02/20/2024,"700 East Seneca Street
Oswego, NY 13126
(43.469591, -76.480137)"
Ralph Ave Highway Yard,1 Ralph Avenue,,Babylon,NY,11702,Suffolk,1,6316694878,Village of Babylon,Municipal,C&D processing - registration,[52W91],Yes,640998,4506779,,Asphalt;Concrete,Registration,52W91R,12/29/1999,,"1 Ralph Avenue
Babylon, NY 11702
(40.699079, -73.33057)"
Crushmore LLC-Smith's Gravel Pit,7120 Sodus Center Road,,Sodus,NY,14551,Wayne,8,2035507207,Crushmore LLC,Private,CDDHRF - concrete rock brick - registration,[59C10010],Yes,334100,4785100,4.2 - Utilization of GIS and existing spatial data,Concrete,Registration,59C10010,12/09/2019,12/08/2024,"7120 Sodus Center Road
Sodus, NY 14551
(43.201054, -77.045083)"
Northstar Auto and Salvage; LLC,28722 NYS Route 37,,Evans Mills,NY,13637,Jefferson,6,3156294824,Madeline Shoen,Private,Scrap metal processor - registration,[23V30009],Yes,429904,4881498,1 - No accuracy stated,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,Registration,23V30009,04/04/2019,04/03/2024,"28722 NYS Route 37
Evans Mills, NY 13637
(44.084006, -75.875573)"
Posillico Materials,1610 New Highway,,Farmingdale,NY,11735,Suffolk,1,6312491872,Posillico Materials LLC,Private,C&D processing - permit,[52W189],Yes,633800,4511500,,Asphalt;Brick;Concrete;Rock;Soil (Clean);Non-petroleum Contaminated Soil,,1-4720-00695/00009,11/20/2015,11/19/2020,"1610 New Highway
Farmingdale, NY 11735
(40.742558, -73.413578)"
Otsego Auto Crushers LLC,6071 State Highway 23,,Oneonta,NY,13820,Delaware,4,6074322375,Wayne D. Hymers Sr.,Private,Mobile vehicle crusher - registration,[13V62601],Yes,498676,4699363,,End of Life Vehicles,Registration,13V52601,06/24/2019,06/24/2024,"6071 State Highway 23
Oneonta, NY 13820
(42.446748, -75.016552)"
Superior Disposal TS,1180 Elmira Road,,Newfield,NY,14867,Tompkins,7,6072773000,Casella Waste Management NY,Private,RHRF - greater than 5 tpd - registration,[55R20011],Yes,371400,4694500,,Metals (Ferrous);Metals (Non-Ferrous),Permit,55R20011,06/29/2018,05/03/2023,"1180 Elmira Road
Newfield, NY 14867
(42.391139, -76.562484)"
L & D Acquisition; LLC,One Lake Niagara Lane,,Naples,NY,14512,Ontario,8,5855319000,L & D Acquisition; LLC/dba Hazlitt Red Cat Cellars,Private,Land application - biosolids/septage/other - permit,[35AP0005],Yes,303334,4721961,4.3 - Utilization of Digital Orthophoto Quads,Non-recognizable Food Processing Waste,Permit,8-3238-00118/00001,09/05/2018,09/04/2023,
Seneca (T) Rural Transfer,3671 County Road 5,,Stanley,NY,14561,Ontario,8,8002273552,Town of Seneca,Municipal,RHRF - 5 tpd or less - registration,[35R10014],Yes,330375,4746548,4.1 - Address Matching,Single Stream;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal,Registration,35R10014,03/27/2020,03/26/2025,"3671 County Road 5
Stanley, NY 14561
(42.852481, -77.076739)"
City Recycling Corp,151 Anthony Street,,Brooklyn,NY,11222,Kings,2,7185996573,Luciano and Gino Casagrande,Private,C&D processing - permit,[24W26],Yes,590173,4508759,,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Rock,Permit,2-6101-00005/00003,06/12/2019,12/13/2020,"151 Anthony Street
Brooklyn, NY 11222
(40.724545, -73.932453)"
AW Scrap Processors Inc,1980 Route 9D,,Wappingers Falls,NY,12590,Dutchess,3,8458311759,Albert Weinert,Private,Vehicle Dismantling Facility,[14J03],Yes,588156,4601098,,,,,,,"1980 Route 9D
Wappingers Falls, NY 12590
(41.556709, -73.943045)"
David Auto Wreckers Inc,1368 East Bay Ave,,Bronx,NY,10474,Bronx,2,7188930980,David Auto Wreckers; Corp.,Private,VDF - large - registration,[03V50004],Yes,594339,4518164,4.2 - Utilization of GIS and existing spatial data,Engine Coolant/Antifreeze;End of Life Vehicles;Lead-acid Batteries;Mix Coolant/Engine Oil/Washing Fluid/Water,Registration,03V50004,11/22/2019,11/21/2024,"1368 East Bay Ave
Bronx, NY 10474
(40.809237, -73.881665)"
Briermere Farms,4414 Sound Ave,,Riverhead,NY,11901,Suffolk,1,6317223931,McCombe Holdings LLC,Private,Composting - yard trimmings - registration,[52P10227],Yes,696379,4538081,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,Registration,52P10227,02/14/2019,02/13/2021,"4414 Sound Ave
Riverhead, NY 11901
(40.967104, -72.658125)"
Cortlandt Yard Waste Transfer (T),167 Roa Hook Road,,Cortlandt Manor,NY,10567,Westchester,3,9147370100,Town of Cortlandt,Municipal,Transfer facility - registration,[60T102],Yes,589208,4568257,,Yard Waste,Registration,60T102,06/06/2018,06/06/2023,"167 Roa Hook Road
Cortlandt Manor, NY 10567
(41.298036, -73.948388)"
Fort Edward MRF (Waste Mgmt),12 Wing Street,,Fort Edward,NY,12828,Washington,5,5187474496,Waste Management of NY LLC,Private,RHRF - permit,[58M01],Yes,615164,4791871,4.3 - Utilization of Digital Orthophoto Quads,Paper/Cardboard;Source Separated Recyclables (Metal/Glass/Paper/Plastic);Metals (Aluminum);Newspaper,Permit,5-5330-00013/00004,06/22/2018,07/31/2024,"12 Wing Street
Fort Edward, NY 12828
(43.270648, -73.580981)"
Regency Forest Pet Cemetery Inc,760 Middle Country Road,,Middle Island,NY,11953,Suffolk,1,6313450600,Leonard Tarzio; Jr.,Private,Waste combustion - no energy recovery,[52I13],Yes,0,0,,Animal Carcasses,Application,,,,"760 Middle Country Road
Middle Island, NY 11953
(40.882308, -72.945668)"
Barton TS (Tioga Management Waste Facility),1216 Route 17C,,Barton,NY,13734,Tioga,7,6075658130,Robert Taylor,Private,Transfer station - permit,[54T94],Yes,378212,4654168,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Tires;Single Stream;Electronics;Metals (Ferrous & Non-Ferrous),Permit,7-4920-00050/00001,06/10/2014,06/09/2024,"1216 Route 17C
Barton, NY 13734
(42.029738, -76.471373)"
NYCDOS Staten Island Transfer Station,600 West Service Road,,Staten Island,NY,10314,Richmond,2,7189671400,NYCDOS,Municipal,Transfer station - permit,[43T33],Yes,568278,4493082,,MSW (Residential/Institutional & Commercial),Permit,2-6403-00141/00001,11/06/2017,11/02/2022,
Izzo Brothers,294-B Old Northport Road,,Kings Park,NY,11754,Suffolk,1,5164492526,Alexander Izzo,Private,C&D processing - registration,[52W98R],Yes,646714,4525651,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean);Rock;Concrete;Brick;Asphalt,Registration,52W98R,06/02/2000,,"294-B Old Northport Road
Kings Park, NY 11754
(40.87717, -73.282524)"
Shokan Coachworks Inc,268 Brodhead Road,,West Shokan,NY,12494,Ulster,3,8456578049,John Smith,Private,Vehicle Dismantling Facility,[56J09],Yes,560752,4645728,,,,,,,"268 Brodhead Road
West Shokan, NY 12494
(41.941125, -74.266287)"
Big Flats Drop-off Center,3305 Chambers Road South,,Big Flats,NY,14845,Chemung,8,8002273552,Chemung County,County,Transfer facility - registration,[08T10010],Yes,344768,4669154,4.1 - Address Matching,MSW (Residential/Institutional & Commercial),Registration,08T10010,03/27/2020,03/26/2025,
Union Scrap Processing; Inc.,3484 South Union Street,,North Chili,NY,14514,Monroe,8,5855941600,Union Scrap Processing; Inc.,Private,Scrap metal processor - registration,[28V30016],Yes,272402,4776415,4.2 - Utilization of GIS and existing spatial data,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,Registration,28V30016,06/10/2019,06/09/2024,"3484 South Union Street
North Chili, NY 14514
(43.104725, -77.801529)"
Swarthout Recycling LLC,1514 County Road 19,,Beaver Dams,NY,14812,Schuyler,8,6079360013,Brian Swarthout,Private,RHRF - 5 tpd or less - registration,[49R20006],Yes,338770,4685717,,Single Stream,Registration,49M04,,,"1514 County Road 19
Beaver Dams, NY 14812
(42.30693, -76.957617)"
Muller's Auto Body,417 State Route 97,,Sparrowbush,NY,12780,Orange,3,8458561810,Kenneth C. Muller,Private,Vehicle Dismantling Facility,[36J18],Yes,522158,4584132,,,,,,,"417 State Route 97
Sparrowbush, NY 12780
(41.408869, -74.735084)"
Camden Land Application Facility,2921 State Route 69,,Camden (V),NY,13316,Oneida,6,3152451202,Village of Camden,Municipal,Land application - biosolids/septage/other - permit,[33AP0014],Yes,476176,4770548,4.3 - Utilization of Digital Orthophoto Quads,Biosolids,Permit,6-3030-00003/00002,02/01/2020,01/31/2025,"2921 State Route 69
Camden (V), NY 13316
(43.312798, -75.693236)"
East Coast Auto Salvage Inc,95-50 Tuckerton Street,,Jamaica,NY,11433,Queens,2,7187392025,East Coast Auto Salvage Inc,Private,VDF - large - registration,[41V50006],Yes,601239,4506071,4.2 - Utilization of GIS and existing spatial data,Engine Coolant/Antifreeze;Lead-acid Batteries;Mix Coolant/Engine Oil/Washing Fluid/Water;End of Life Vehicles,Registration,41V50006,12/19/2019,12/18/2024,"95-50 Tuckerton Street
Jamaica, NY 11433
(40.699325, -73.801171)"
Langevin Excavation,Twin Lakes Road,,Oswegatchie,NY,13670,St. Lawrence,6,3158483358,Bruce Langevin Jr.,Private,Land application - septage - registration,[45A40028],Yes,496052,4893042,4.1 - Address Matching,Septage,Registration,45A40028,11/20/2019,11/19/2024,
Allstate Used Auto Parts,23 Mertes Lane,,New Windsor,NY,12553,Orange,3,8455228206,Ray Sayed,Private,VDF - large - registration,[36V50007],Yes,578310,4590244,,End of Life Vehicles;Used Oil;Engine Coolant/Antifreeze;Lead-acid Batteries,Registration,36V50007,01/25/2019,01/24/2023,"23 Mertes Lane
New Windsor, NY 12553
(41.459475, -74.062564)"
Safety-Kleen Corp,6741 VIP Parkway,P.O. Box 475,Syracuse,NY,13211,Onondaga,7,3154558638,,,Waste oil storage; reprocessing or rerefining facility,[34O02],Yes,409288,4772451,4 - GIS Assisted,,Permit,,,,"6741 VIP Parkway
Syracuse, NY 13211
(43.100115, -76.114546)"
Visone Construction,79 Sheldon Ave,,Depew,NY,14043,Erie,9,7166817331,A-C Transport Co. Inc.,Private,CDDHRF - asphalt pavement and millings - registration,[15C20077],Yes,199704,4757538,1 - No accuracy stated,Asphalt Pavement;Asphalt Millings,Registration,15C20077,05/15/2020,05/15/2025,"79 Sheldon Ave
Depew, NY 14043
(42.911371, -78.678663)"
Madison County Sewer District Compost Facility,4500 NY Route 13,,Cazenovia Town,NY,13035,Madison,7,3156552261,Madison County Sewer District - Transferred to Cazenovia,Municipal,Composting - biosolids/other - permit,[27PP0014],Yes,431303,4754669,1.1 - Obtained from original submission and unverified process,Biosolids,Permit,7-2522-00030/00004,09/01/2017,08/31/2027,"4500 NY Route 13
Cazenovia Town, NY 13035
(42.940493, -75.844776)"
New Paltz TS (T),3 Clearwater Road,,New Paltz,NY,12556,Ulster,3,8452558456,Town of New Paltz,Municipal,Transfer facility - registration,[56T10004],Yes,578301,4626820,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Food Scraps;Magazines;Newspaper;Office Paper;Junk Mail;Glass;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Non-recyclable Scrap Plastic;Electronics;Wood (Unadulterated Pallets);Yard Waste;Waste Tires;Waste Oil (Other),Registration,56T10004,11/15/2018,11/15/2022,"3 Clearwater Road
New Paltz, NY 12556
(41.791299, -74.068361)"
Brookhaven Waste Management Facility,350 Horseblock Road,,Yaphank,NY,11719,Suffolk,1,6312868551,Town of Brookhaven,Municipal,C&D processing - registration,[52W131R],Yes,674593,4518097,4.2 - Utilization of GIS and existing spatial data,Concrete,Registration,52W131R,02/06/2007,,
Summit Auto Inc,3973 Route 209,,Summitville,NY,12781,Sullivan,3,8458882500,Jim Blakesky,Private,Vehicle Dismantling Facility,[53J08],Yes,541011,4604950,,,,,,,
Rensselaerville (T) Transfer Station,87 Barger Road,,Medusa,NY,12120,Albany,4,5187973798,Town of Rensselaerville,Municipal,Transfer facility - registration,[01T13601],Yes,570968,4700871,,MSW (Residential/Institutional & Commercial);Single Stream;Waste Tires,Registration,01T13601,03/11/2019,03/15/2024,"87 Barger Road
Medusa, NY 12120
(42.454938, -74.138114)"
South Buffalo Auto Parts,654 Elk Street,,Buffalo,NY,14210,Erie,9,7168221111,South Buffalo Auto Parts,Private,VDF - large - registration,[15V50053],Yes,187142,4753016,1 - No accuracy stated,End of Life Vehicles,Registration,15V50053,04/11/2019,04/11/2024,"654 Elk Street
Buffalo, NY 14210
(42.865558, -78.829747)"
Deer Park Recycling,54 Kinkel St,,Westbury,NY,11590,Nassau,1,5163336145,,,RHRF - exempt (non-VDF),[30M00],Yes,621428,4512705,,,Exempt,,,,"54 Kinkel St
Westbury, NY 11590
(40.755846, -73.562087)"
Nelson's Auto Salvage; Inc.,122-80 Montauk Street,,Springfield Gardens,NY,11413,Queens,2,7182764294,Nelson's Auto Salvage; Inc.,Private,VDF - large - registration,[41V50009],Yes,604877,4504099,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles,Registration,41V50009,01/15/2020,01/14/2025,"122-80 Montauk Street
Springfield Gardens, NY 11413
(40.681043, -73.758686)"
